City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Oranjemund,NA,-28.55,16.4333,59.68,88,78,11.65,broken clouds
80,Beloha,MG,-25.1667,45.05,66.83,96,13,4.38,few clouds
81,Azul,AR,-36.777,-59.8585,69.35,16,16,9.26,few clouds
82,Batticaloa,LK,7.7102,81.6924,78.75,82,54,1.81,broken clouds
83,Noyabrsk,RU,63.1994,75.4507,39.65,89,47,15.03,scattered clouds
84,Bredasdorp,ZA,-34.5322,20.0403,65.28,67,99,5.28,overcast clouds
85,Zaterechnyy,RU,44.7931,45.2097,64.45,78,99,18.3,light rain
86,Odweyne,SO,9.4092,45.064,79.2,51,95,2.91,overcast clouds
87,Alto Araguaia,BR,-17.3147,-53.2153,70.25,79,100,11.3,overcast clouds
88,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,80,8,12.08,clear sky
89,Paamiut,GL,61.994,-49.6678,36.48,97,100,36.33,moderate rain
90,Malente,DE,54.1712,10.5552,55.15,93,100,16.17,light rain
91,Atar,MR,20.5169,-13.0499,97.03,19,86,8.86,overcast clouds
92,Laguna De Perlas,NI,12.3429,-83.6712,84.29,86,100,9.42,overcast clouds
93,Malanje,AO,-9.5402,16.341,73.54,45,40,4.43,scattered clouds
94,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,78,40,5.75,scattered clouds
95,Souillac,MU,-20.5167,57.5167,71.98,83,40,11.5,scattered clouds
96,Torbay,CA,47.6666,-52.7314,56.57,51,20,19.57,few clouds
97,Saldanha,ZA,-33.0117,17.9442,77.05,84,100,10.6,overcast clouds
98,Sinnamary,GF,5.3833,-52.95,84.67,70,21,12.15,few clouds
99,Fomboni,KM,-12.28,43.7425,77.0,69,35,3.83,light rain
100,Kiruna,SE,67.8557,20.2251,41.92,81,100,11.5,overcast clouds
101,Hofn,IS,64.2539,-15.2082,33.82,55,0,16.11,clear sky
102,Bay Roberts,CA,47.5999,-53.2648,57.33,51,6,11.99,clear sky
103,Aswan,EG,24.0934,32.907,82.74,25,0,15.17,clear sky
