,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
543,Takoradi,GH,77.27,light rain,4.8845,-1.7554,Raybow International Hotel
545,Salamiyah,SY,68.29,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
546,Serta,PT,66.96,broken clouds,39.8085,-8.0988,Hotel LarVerde
549,Corinto,GR,67.89,few clouds,37.9407,22.9573,Ephira Hotel
551,Camacha,PT,69.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
552,Le Port,RE,71.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
553,Saurimo,AO,71.96,few clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
555,Pittsfield,US,60.06,broken clouds,42.4501,-73.2454,"Holiday Inn & Suites Pittsfield-Berkshires, an IHG Hotel"
563,Salinas,US,72.81,mist,36.6777,-121.6555,Laurel Inn & Conference Center
565,Buenavista,PH,76.41,broken clouds,8.9769,125.4089,Room For Rent
566,Mantua,IT,66.06,overcast clouds,45.1667,10.7833,Hotel la Favorita
570,Chegutu,ZW,76.53,clear sky,-18.1302,30.1407,Jacaranda Lodge
572,Portachuelo,BO,74.3,clear sky,-17.35,-63.4,MOTEL
576,Royan,FR,62.82,overcast clouds,45.6285,-1.0281,CERISE Royan - Le Grand Hôtel de la Plage
578,Alta Gracia,AR,69.89,clear sky,-31.6529,-64.4283,Hotel Ritz
579,Bolobo,CD,72.9,light rain,-2.1667,16.2333,Hotel de Stephen
581,Beckley,US,65.32,clear sky,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
586,Murray,US,77.23,clear sky,40.6669,-111.888,Hampton Inn Salt Lake City/Murray
587,Tamandare,BR,79.92,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
588,Ramotswa,BW,79.79,scattered clouds,-24.8716,25.8699,Nako Guest House @ Ramotswa
591,Pirai Do Sul,BR,61.02,light rain,-24.5261,-49.9486,Victor Hotel
592,Bonthe,SL,78.44,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
595,Jalu,LY,74.77,clear sky,29.0331,21.5482,صاحبة الفخامة
597,Bouna,CI,79.12,broken clouds,9.2667,-3.0,Hôtel lababa
598,Catamarca,AR,76.06,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
606,Gemena,CD,68.56,broken clouds,3.25,19.7667,Hôtel Goshen
607,Matay,EG,76.6,clear sky,28.419,30.7792,Nag Aespen
608,Anloga,GH,79.5,broken clouds,5.7947,0.8973,Pin Drop Hotel
609,Kibaya,TZ,60.82,broken clouds,-5.3,36.5667,Lusaka Hotel
612,Rodos,GR,70.79,clear sky,36.4408,28.2225,Spirit of the Knights Boutique Hotel
618,Luena,AO,68.76,scattered clouds,-11.7833,19.9167,Hotel Kandamba
620,Ondjiva,AO,76.32,clear sky,-17.0667,15.7333,COMBUESA
623,Binga,ZW,77.52,clear sky,-17.6203,27.3414,Lakeview Inn Binga
624,Rabo De Peixe,PT,72.91,few clouds,37.8,-25.5833,Quinta das Giestas
627,Kang,BW,74.25,clear sky,-23.6752,22.7876,Kang Ultra Stop
629,Tahta,EG,77.32,clear sky,26.7693,31.5021,فندق الزيات
632,Mkushi,ZM,73.33,broken clouds,-13.6202,29.3939,Mkushi Police Club
635,Baza,ES,64.58,scattered clouds,37.4907,-2.7726,Pensión Ronda
638,Back Mountain,US,64.67,broken clouds,41.3359,-75.9963,Country Club Apartments
641,Huntington,US,72.88,clear sky,38.4193,-82.4452,Ramada Limited Huntington
642,Kedougou,SN,78.44,light rain,12.5579,-12.1743,Relais de Kédougou
646,Vallenar,CL,74.21,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
650,Kalmunai,LK,78.24,overcast clouds,7.4167,81.8167,VS Villa
654,Orcopampa,PE,63.18,clear sky,-15.2661,-72.3417,Happy Wasi
656,Artyom,AZ,66.34,clear sky,40.4723,50.333,Yusif 10 A
659,Antalaha,MG,67.06,light rain,-14.9003,50.2788,Hotel Vitasoa
661,Mbandaka,CD,71.15,overcast clouds,0.0487,18.2603,Guest House Epervier
664,Gazanjyk,TM,66.25,clear sky,39.2446,55.5154,Railway motel
669,Berea,US,71.94,clear sky,41.3662,-81.8543,Comfort Inn Cleveland Airport
671,Buchanan,LR,78.62,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
673,Totoral,PE,72.61,few clouds,-17.4053,-70.365,Curibaya
674,Korcula,HR,66.94,overcast clouds,42.9622,17.1369,Marko Polo Hotel by Aminess
675,Villazon,BO,67.75,clear sky,-22.0866,-65.5942,La Candelaria
676,San Luis,AR,69.42,scattered clouds,-33.295,-66.3356,Huarpes Hotel
680,Chail,IN,75.02,moderate rain,25.4333,81.6333,LANDLORD RESIDENCY
684,Kapan,AM,60.03,clear sky,39.2075,46.4058,Grand House
687,Faro,PT,68.18,few clouds,37.0194,-7.9322,Hotel Faro & Beach Club
689,Fez,MA,73.65,broken clouds,34.0372,-4.9998,Hotel Mounia Fès
690,Middelburg,ZA,70.97,clear sky,-25.7751,29.4648,Oregon Place Guest House
692,Richards Bay,ZA,70.39,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
693,Filadelfia,US,71.11,clear sky,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
694,Ravar,IR,67.59,clear sky,31.2656,56.8055,computertik
696,Porto Novo,BJ,78.3,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
699,Sitamau,IN,74.82,few clouds,24.0167,75.35,सीतामऊ
702,Calama,CL,70.29,clear sky,-22.4667,-68.9333,Park Hotel Calama
708,Chavantes,BR,71.67,heavy intensity rain,-23.0389,-49.7094,Hotel Pousada Phliladelfia
709,Marsaxlokk,MT,71.08,clear sky,35.8419,14.5431,Water's Edge
713,Constantine,DZ,63.81,broken clouds,36.365,6.6147,Grand Hotel Cirta
714,Kangavar,IR,63.75,clear sky,34.5043,47.9653,خانه معلم کنگاور
715,Jackson,US,76.91,smoke,42.4165,-122.8345,Agate Village Apartments
717,Mandaguari,BR,70.18,heavy intensity rain,-23.5475,-51.6708,Vip Dog - Centro estético canino
719,Mogadishu,SO,77.38,clear sky,2.0371,45.3438,Hotel Juba
720,Brusque,BR,61.09,overcast clouds,-27.0981,-48.9175,Monthez Hotel e Eventos
723,Maxixe,MZ,73.22,few clouds,-23.8597,35.3472,Oceano
